ID	String 1	label
661	an alien landed at a soft drink company and said take me to your liter	1
3815	You can put a after the link along with the person s ID name to pull up a certain briefcase	0
1892	when the money fell from my pocket i saw this punk reach for it pointed my 357 magnum at him and muttered go ahead take my pay	1
3998	real friends don t need you to spend money on them	0
666	whoever invented the girdle got a bum wrap	1
4777	The poor lack much but the greedy more	0
507	a cosmetic surgeon knows how to raise a few eyebrows	1
939	i used to enjoy steak and cheese with my eggs but it s all ova now	1
4027	use the commodity exchange market of your country and invest something like the stock exchange without taking delivery	0
29	a hole has been found in the nudist camp wall the police are looking into it	1
3160	He said I was just looking at people looking at the street	0
2986	He said the company was determined to force a strike	0
125	deafness is getting to be quite a problem for me lately i never thought i d hear myself say that	1
3103	No one was injured in the 2 a m attack police said	0
2243	those who polish cars so that they shine work in a buffer zone	1
530	what did the guy say who needed the restroom when he found someone blocking him urine my way	1
2825	The leader saw me and told the others not to kill my husband	0
4767	Put a stout heart to a steep hill	0
3937	You have no way of telling I think exactly the same things	0
4301	Easier to bend the body than the will	0
1960	my girlfriend once gave me a valentine made of soft leather what a suede heart	1
601	i used to meditate a lot but now i only do it every now and zen	1
1005	a stewed chef sat pie eyed as the crusty judge took his caraway a punnish mint a long thyme cumin	1
495	a man at the watchmakers convention made a motion but it died for lack of a second	1
3902	You already did when you choose the best answer and put in your comment	0
4774	A person who misses a chance and the monkey who misses its branch can t be saved	0
3714	I would say very carefully I would get a professional instructor	0
2303	the swollen blood vessels in her legs were very quarrelsome she had bellicose veins	1
2281	diamond prospectors have to use a good strata gem	1
4653	The nail that sticks its head up is the one that gets hit	0
1837	everyone was hungry so we had the pig roaster going full boar	1
142	what do you call a melon that s not allowed to get married can t elope	1
2885	I am an illiterate and didn t understand what was going on	0
4139	Chefs are using science not only to better understand their cooking but also to create new ways of cooking	0
639	did you hear about the frog who traced his family history to warsaw he was a tad polish	1
4070	Bad breath comes more from the lungs than the mouth	0
1662	do people who live near a beach have sandy and wavy hair	1
415	my friend went on a date with a girl called simile i asked him how it went he said it wasn t serious he just metaphor a coffee	1
453	if gophers become extinct the hole ecosystem will die	1
3357	We just got the word that it s not the one they had claimed it was	0
1513	an experienced waiter can give a lot of good tips	1
1065	used shoes can be re soled	1
2751	They told him he was seen at the scene of the crime but he wasn t	0
1752	the first household lubricant was caster oil	1
2899	This was the most difficult book I have ever written he said	0
1420	i ve never really known what i wanted to do in my later years but in the long run i want to take part in the boston marathon	1
3229	What s fun about the show is that we re all different	0
2500	If he has anything to tell us I m sure he ll tell us	0
4017	You d be better off just getting a new car	0
4359	If you pay peanuts you get monkeys	0
2400	on my chicken farm i own the birds scratching around on the ground in the barn but i am paying off the ones sitting on the roosts they are on higher perches	1
1590	the board game enthusiast was ecstatic you could say he was in pair of dice	1
1698	when tires are up it s due to inflation	1
3840	There is nothing wrong with a little fear It is normal If you didn t have some fear then it would mean you weren t really interested in the girl	0
4621	God could not be everywhere and therefore he made mothers	0
2942	I am not trying to pass myself off as a woman	0
4154	Yes you can eat well here But you can also see where cinema started and drink among the accused	0
3698	study hard do only the important stuff do last years paper	0
1697	where did anastasia go i don t know she must of been romanov	1
3814	Just stop being shy for a moment and tell it to him right in the eyes and hope for the right reaction Good luck	0
651	as long as the imperial system is in place a ruler will be afoot	1
4784	Coffee has two virtues it is wet and warm	0
3169	The time has come to put this matter behind us he said	0
483	decimals have a point	1
775	he got angry at the italian chef and gave him a pizza his mind	1
1839	even though he contributes either the x or y chromosome when a father chooses the sex of his child it s just a sperm of the moment decision	1
4377	It is not economical to go to bed early to save the candles if the result is twins	0
3420	But first he may want simply to take in the view	0
1423	it s evergreen and related to the pine but has no cones perhaps yew can tell me what conifer tree it is	1
1692	zookeepers spot clean their leopards	1
1259	are you willing tibet i ve never seen a yak	1
3276	But the intelligence chief said I can t tell you when or how soon the case will be broken	0
298	i heard einstein got along well with his parents relatively speaking	1
1642	i aspire to be a steeplejack	1
3055	I find that while some things are worse much is better	0
2848	The poor man didn t really get to do what he wanted to do	0
578	pre arranged marriages pre pair people for the future	1
1012	an arctic survey was called the north poll	1
562	the chef took some cheese and made some grate things	1
4598	Everyone must row with the oars he has	0
4349	If you are standing upright don t worry if your shadow is crooked	0
1887	young animal doctors are vet behind the ears	1
1867	an old indian man was fishing online for puns with baited breath he waded until he gave up and decided take a poll and caste from his own line when he caught a triple entendre	1
3369	I was walking to the post office one day and this guy is walking by goes I love your work	0
3579	Get off the computer and spend some time with your husband	0
3501	You wouldn t have to ask if you were in love	0
843	those who live beyond their means should act their wage	1
3368	The city does seem to have won her over since they moved here	0
4664	To wait for luck is the same as waiting for death	0
1652	he put up a barn so his farm would be stable ized	1
3315	He was released from prison camp a year ago and says I have nothing to do here	0
1338	the lamb was cold because he lost his muttons	1
2247	the stock market crashes but viagra beats the flop	1
3476	I wasn t getting anywhere so I came up here and decided to fight until I get it	0
1364	the anesthesiologist s computer has an ethernet connection	1
2706	We know that it s going to be a big hit because we ve had it out there among the people who are going to buy it he said	0
1116	the chiropractic author wrote a spinal column	1
3939	As for talking I think you have to use the phone good luck getting through	0
668	when the drill bit was invented it was a real turning point	1
3342	The report covered the first six months of work for those people	0
1433	insurance adjustors are always at a loss	1
3823	You can use a clear coat paint or clear liquid shoe polish	0
2920	We re out to show them the people do still care	0
1281	wire electrical jobs so fun	1
158	people might think i m a bit of a square but that just means i m exactly right on every angle	1
3302	We meant to change a nation and instead we changed a world he said	0
1700	when the orchard owner went to trial he was judged by a jury of his pears	1
1746	the jedi knight traded in his light saber for a light dagger he had gone over to the dirk side	1
308	i decide which beer to drink on a case by case basis	1
3696	eat less exercise more drink a lot of ice water	0
4037	quit find a better job with a better boss or where your the boss	0
534	two fonts arial and calibri were in the midst of a bad breakup calibri said i m sorry you re personality is too bold arial responded you re just not my type	1
4665	Transactions in Hell also depend upon money	0
1754	the evil molecule couldn t be prosecuted during the day so it had a nitrile instead	1
2886	My father didn t have anything so I committed this act he said	0
138	when the dalmatian ran away he was spotted two blocks from home	1
1596	people who live in the mountains have their own viewpoint	1
1696	why do football players make terrible pilots they always break the plane before touchdown	1
751	i started to work at a seafood buffet but then i pulled a mussel	1
2134	a personal financial dilemma is known as a bill pickle	1
2778	I feel very concerned that it the deal is going forward without any review of the type the statute called for	0
2509	He couldn t find a store bought boot to fit him	0
3796	easy with your mouth Just joking just write a letter it may just work	0
2868	She knew she was going to die said her mother	0
1721	those who like sugar in their tea are willing to take their lumps	1
4343	If there is beauty in character there will be harmony in the home If there is harmony in the home there will be order in the nation If there is order in the nation there will be peace in the world	0
2367	if i had to guess he was drinking a tequila surmise	1
1928	the lazy musician was told to shake allegro or make himself scherzo	1
716	the cost of a galvanized hull is enough to zinc a ship	1
4109	A look at the day in sports from a cycling race in France to high school wrestling in Pennsylvania	0
1452	i bought a computer from the nero company it comes with a cd rome burner	1
675	when asked whether or not i was bilingual i was about to say i knew sign language but i figured it was sort of a mute point	1
1900	to plan beforehand for a cold winter is pre furable	1
1160	mathematicians are sum worshippers	1
2984	Then we could all look down and that would make us feel good	0
520	when the drummer moved back in next door there were many repercussions	1
2217	expensive golf clubs are par for the course	1
2189	i walked into this posh restaurant the prices were extortionate it was daylight snobbery	1
2030	why was the orange sad he had peelings for the apple	1
4015	Being as to how you ll be in Alaska I shouldn t think that that would be a problem	0
619	i had a novel idea for a new book but got in a bind so i shelved it it s time to start a new chapter now	1
44	i think santa has riverfront property in brazil all our presents came from amazon this year	1
847	they called him the king of the dentists because he specialized in crowns	1
2734	The other tire went across the freeway causing a minor three car collision	0
3956	hold a gun to it s head and tell it to count backwards from ten	0
4595	Elbow grease is the best polish	0
1474	he drank so much at 16 years old that they called him a juvenile deliquid	1
3053	They would like to keep as many men under arms as they can	0
2693	I don t think people are going to forget him	0
2223	communism is a complicated thing you must think about from all sorts of engels	1
463	he made a slow start in the sport of weightlifting but he picked it up eventually	1
4056	a thing called soap and water try it some time	0
1022	after punching his computer and breaking his hand the guy required tech knuckle support	1
39	john deere s manure spreader is the only equipment the company won t stand behind	1
1391	one night a banking tycoon fell overboard from his yacht he was saved because he could float a loan	1
3900	make yourself look hot and try to get the girl of your dreams attention	0
2946	There wasn t a real tight ring of steel around the town	0
1393	one can tanker ous train railed another asking what are you a freight of	1
4213	Once a water tower then a money pit now home	0
2722	Some of the birds don t make it through the cleaning	0
1366	the admiral s motto was do it schooner not later	1
4112	What happens when you pack a sports team with top players at every position	0
2929	It measured 5 6 on the Richter scale he said	0
4810	Fatherhood is pretending the present you love most is soap on a rope	0
3798	put the bottom glass in hot water and put cold water in the top glass	0
2703	You don t try to dance with the elephants he said	0
1491	dorothy s medical instructor was the wizard of gauze	1
2150	when the shoe store owner discovered that someone had broken into his store the police pumped him for information	1
1556	the winter drive by shooting was a slay ride	1
4570	He that does amiss may do well	0
2478	We only know it was picked up in Hungary he said	0
4540	Revenge is a dish that should be eaten cold	0
1237	continually discovering new viruses can become a strain	1
1428	is coffee your daily grind	1
98	i wanted to bring a penguin home but my parents said that wasn t going to fly	1
1349	the father who worked as a baker was a real breadwinner	1
3645	If you have a special someone it s the best day in the world If you don t have someone special it s just another day	0
4366	In his decision the judge with seven reasons gives only one in court	0
4136	Sometimes it s time for a doctor to become the patient	0
4616	Don t live in a town where there are no doctors	0
124	did you see the movie about the hot dog it was an oscar wiener	1
4098	The rules will force the American operations of foreign banks to follow many of the same rules as American banks including holding more capital as a financial buffer	0
4497	We are usually the best men when in the worst health	0
1326	the pilot was a loner but even for him flying a drone was just too remote	1
311	historians have extra century perception	1
2270	in my will i ve requested that envelopes be sent out full of chick pea paste it ll be done posthumously	1
2108	his daughter grew flowers because her poppy liked to see them every daisy	1
3127	I want to get the girl without putting a gun to her head	0
4783	Caution is the parent of delicate beer glasses	0
352	when the plums dry on your tree it s time to prune	1
2075	the dermatologist and his wife enjoyed the backyard bbq while their children played a game of skin tag	1
4486	The pitcher will go to the well once too often	0
3323	I would give it up because I hate it that much	0
4668	Vision with action is a daydream action without vision is a nightmare	0
3194	But another report should give the rest of us pause	0
735	now that the water slide is built it is time to give it a dry run	1
4189	A scientist is trying to find out whether nuts have staying power as a healthy treat	0
1309	two cooks had a contest and the heat was on	1
1385	people who get complimented on their hair usually let it go to their head	1
991	dr jekyll s more successful second formula turned him into a world class sprinter rather than a violent psychopath proving that you can run but you can t always hyde	1
214	when the statistics professor and the math professor wrote a cookbook together they called it pi a la mode	1
862	there s a difference between good sound reasons and reasons that sound good	1
629	he reminded me the speed limit was 60 but i didn t understand he was speaking a mile a minute	1
2307	the other truck drivers discovered that he had been wearing french perfume it was lorry hell	1
1042	when the goat ate a scrabble set the letters came out in alphabetical ordure	1
489	at first i thought the yoga instructor was lying then i realized she was just stretching the truth	1
4233	A bridle for the tongue is a necessary piece of furniture	0
2812	It is my disease and I ll handle it my way	0
1632	i just had some coffee that was good only for its sedimental value	1
3432	But how long this will last I cannot tell you	0
3019	The best part of my life is gone now he said	0
1872	a lupine dancer is a steppin wolf	1
4004	if you are on the pill stop taking it If not then there is no way sorry	0
4252	A rumour goes in one ear and out many mouths	0
2906	But I still think there is higher inflation ahead perhaps in spite of this report and not because of it	0
3675	check a pet rescue a lot of times they give dogs away	0
636	dutch shoes used to be made in a factory machine until it got clogged up	1
3518	Are you old enough to have sex No I don t think so	0
2308	the mass murderer was always grumpy he was a surly ol killer	1
2106	i am kicking myself i did not take up karate earlier	1
4817	There s nothing like being bespattered for making a man defy the gutter	0
2939	Why would anyone have to murder them or run them down	0
402	studying earthquakes rocks but sometimes it is not always what it is cracked up to be	1
2761	As far as I m concerned this is over and done with now	0
2876	The teachers have worked without a contract since July 1	0
867	the owner of the hair salon had to make cuts on his staff	1
2689	I think he s starting to get to know her	0
1432	in the army mess hall the men were getting fed up	1
2058	the shy bat liked to keep to himself and stay under the radar	1
3658	Your fighting a losing battle if he thinks she is more important than his wife	0
1722	those who have icicles keep a stiff upper drip	1
3119	I m interested in people who are a little off	0
291	i tinted my hair today it was the highlight of my day	1
1958	on a long trek nomads use camels to get them over the hump	1
2460	In all those marriages I ve never killed any one I ve never shot anyone	0
1749	the gunman took a shot at new opportunities	1
1869	a new country decided to conduct a flag poll	1
831	when a psychic showed me the girl i ll marry it was love at second sight	1
2898	In this he saw a chance for a new professional beginning	0
979	he kept an alarm clock in the back window of his car he was always ahead of his time	1
1448	if the mint makes 25 cent pieces it should expect quarterly profits	1
380	the orthopedist said that working with fractures isn t all that it s cracked up to be	1
4253	A single beam cannot support a great house	0
3496	The question should be What should I do to find a nice guy	0
104	i used to be a watchmaker it was a great job and i made my own hours	1
2905	I think they tend to feel that interest rates are already high enough	0
3325	She waited and waited but the flag didn t show up	0
348	will this computer last five years obsoletely	1
2755	She said she thought 50 or fewer students had been killed but that she would have to check before she could even give an estimate of the number	0
3012	History cannot be written when our recent past still has a great impact on our present	0
4185	At many restaurants what once was free now must be requested This must change	0
2744	You get 20 and they say There s the door	0
3364	I guess in the secular community we ve lost that a bit	0
2921	If they have less time for it they just go harder during that time	0
1505	as soon as the airplane was invented things were looking up	1
4072	see the sight below it will tell you everything you need to know	0
4311	Enough s as good as a feast	0
1902	those who like dark beer are beyond the pale	1
2655	It may be ironic but the two things are not related	0
4361	If you share a man s wealth try to lessen his misfortune	0
2985	But he added In case the meeting isn t held then it must be held as soon as possible	0
942	i took up teaching fencing as i wanted my students to get the point	1
3499	in the bed making love to my husband all day long	0
4207	When being up to your neck in hot water is a beautiful thing	0
2103	i know road rage is an awful thing but when someone bumped my car i just couldn t help it i got out my camera and snapped at the offender	1
2747	It was not known if his girlfriend made her flight	0
4706	If a man deceive me once shame on him if he deceive me twice shame on me	0
95	i went to the dentist without lunch and he gave me a plate	1
302	if you invite an insomniac to your pajama party they will be up for it	1
4383	Jam tomorrow and jam yesterday but never jam today	0
4031	I get up and walk to my office down the hall I save a lot on gas	0
3254	So we cut the people s tax rates and the people produced more than ever before	0
4520	The face is no index to the heart	0
1085	the surgeon failed to repair his own ruptured pericardium because his heart just wasn t in it	1
2374	buying a car is quite a show which is why car salespeople use a showroom	1
1202	i don t recommend dating bridge builders they have truss issues	1
1262	archimedes set out to invent a water pump and screwed it up	1
854	the state legislature could not decide whether to fund the water control project or the all weather stadium it was a no win situation dammed if you do domed if you don t	1
3135	It s a talk show for people who don t have a talk show now	0
3941	I have the same problem I hope you find an answer cause I d like to know what to do myself	0
3283	Only time will tell if that is best for patients	0
1774	riding the escalator is a step up from always walking on the same level	1
1119	the boy who got electrocuted was unable to give a statement because he was still shocked at the incident	1
224	two astronauts who were dating put an end to it because they both needed their space	1
1567	the new york stock exchange has roamin numerals	1
1095	the musician in jail was anxiously awaiting his next release	1
4769	Put by for a rainy day	0
3039	That it s a sign of danger especially in a kid	0
3403	I was just very very happy to hit ground have the plane stop and get off the plane	0
575	scarecrows are always garden their patch	1
2931	My feeling is let s give him a chance to see if he meant what he said and if he can do what he promised	0
4753	A little stone may upset a large cart	0
4577	He that will take the bird must not scare it	0
852	the surgeon really did not know how to perform quick surgeries on insects but he did one on the fly	1
910	power drills have been improved bit by bit	1
1939	the eastern potentate spent money as if it were emir drop in the bucket	1
1332	the most popular operation for orthopaedic surgeons is upper leg surgery very hip	1
502	after dating the goalie on the local team for a while she realized he was a real keeper	1
269	partying saturday and sunday leaves me feeling weakened	1
1430	i pricked my finger badly while trying to find a needle in my wife s sewing box it was a crewel turn of events	1
2631	The real problem today was the drop in the bond market and the drop in the dollar	0
3733	Court House in the state she lived at time of death	0
4550	Still he fisheth that catcheth one	0
2600	They received me in such a way she said she d put me to work for a week	0
487	bakers earn the majority of their income in the morning they earn most of their dough at yeast by a leaven o clock	1
2378	why did the man go to a lot of church cook outs because it s hard to find a good grill	1
3846	go and visit the places then see the hall of records	0
1108	the feather dancer was rushed to the hospital her boa constricted her	1
117	i decided that becoming a vegetarian was a missed steak	1
3152	Being a father I m more concerned about the world my daughter will grow up in so that comes out in the songs I write	0
1766	some people like to whine and dine	1
2477	I want him to get well and live as long as possible	0
3065	But it is a bit too early to say what that form will take	0
3774	There are stress balls or i just get up and move around or get on here	0
1941	the computer bug got caught in a spider website	1
4280	Careless rat chewing on a cat s tail beware lightning	0
1272	a glide path is a soar spot	1
1580	the general started bowling before his aide had entered his name on the score sheet he had launched a pre emptive strike	1
4234	A chicken is hatched even from such a well sealed thing as an egg	0
1551	to find bargains go where the auction is	1
3011	We weren t afraid of them when they were alive so why should we fear them when they re dead	0
599	i was fired from my job selling amplifiers i didn t achieve the sufficient volume of sales	1
1982	hogs are taken to slaughter by the hearsemen of the aporkalypse	1
491	an undertaker can be one of your best friends he is always the last one to let you down	1
3532	Practice breathe control Practice body control Practice mind control Practice emotional control	0
1003	chefs have the skillet takes to be good at what they do	1
3497	You have to be really good at giving good advice Then go to college	0
4130	What you can do if your physician makes you wait and wait and wait	0
2639	I m going to escape if they take me away	0
4024	clone one i don t think you could get the equipment	0
3140	I don t drink like I used to just two three drinks a day he said recently	0
4167	The building is a piece of a bridge between the city s past and its high rise present	0
159	pencil sharpeners have a tough life they live off tips	1
541	they served lunch at the auto repair shop but i didn t eat it it was full of carbs	1
3110	You were shocked he said of his son s series fate	0
496	a lot of money is tainted it taint yours and it taint mine	1
1387	people have a happy time vacationing in ireland because they are walking on eire	1
398	the chinese chef maliciously dumped a hot broth with dumplings on an obnoxious customer it was a wanton soup attack	1
2863	They usually wear no life jackets or other safety equipment	0
1533	why do people eat pretzels since they are knot food	1
1115	the coffee around here is break fluid	1
2010	as a short order cook he was a flash in the pan	1
170	i used to hate maths but then i realised decimals have a point	1
2172	the color of the sun in the early morning rose	1
3197	The panel s report asked the government business and labor to work toward a five day work week	0
2211	hospitals that buy in bulk get a valium discount	1
2815	We don t know what the bomb was made of	0
4741	A hard bit does not make the better horse	0
1380	securities are the cause of many people s insecurities	1
4128	It can be hard for someone to suddenly take up running but all the advice offered makes it even more complicated	0
223	two nuclear technicians got married she was radiant and he was glowing	1
2790	He said that when he went down to the university s main gate to see why his friends weren t being allowed in a group of Chinese attacked him	0
4001	just type in the name of the pill your looking for in the search engine and any site that has the pill will come up	0
3915	what do you mean you have abs but they look funny and you want to get rid of them	0
2112	harry and clem the carpenters argued mightily on how best to complete the dinette set they were working on they finally agreed to table the discussion	1
2618	The difference in her case she said was the blocking off so that one self was not aware of the other	0
3740	drink water and have someone pull your ears it has never failed	0
72	the little old woman who lived in a shoe wasn t the sole owner there were strings attached	1
720	the best place for a mathematician is behind a counter	1
3930	eat alot of chicken and i heard about soy implants once	0
3887	When the time comes that you meet someone special you will just know that he is the one	0
4188	Where do you go for a taste of the good or bad old days	0
3522	The do not step on grass sign is for people other than the owners	0
2788	You wonder with such beautiful children and a nice home	0
2137	aliens are lovable because they re so spatial	1
2530	She could have sold a house and been taking the money to a bank	0
3791	highlight everything else so you can t tell the difference	0
1870	a men s wear store has opening and clothing times	1
3583	lie lie lie with a straight face not so easy sometimes	0
173	i tried wrapping christmas presents but i didn t have the gift	1
3043	That it s a sign of danger especially in a kid	0
470	eggs make lousy comedians they always crackup at their own yokes	1
4453	Pick your inn before the dark get on your road before the dawn	0
218	when the church relocated it had an organ transplant	1
1232	do hotel managers get board with their jobs	1
3491	And try to stick to the subject when you do	0
3474	Then I sit out in the sun like an animal and get dry he says	0
1545	what do you call a podium that eats people hannibal lectern	1
1877	after a night out on the town the wine drinking pirate captain had a port list	1
1544	when asked the whereabouts of her fancy fur scarf the minx replied it was stole	1
4338	He has too many lice to feel an itch	0
4404	Married couples who love each other tell each other a thousand things without talking	0
728	she didn t like her masseuse she rubbed her the wrong way	1
3563	all you do is keep taking lessons and enter in horse shows	0
4204	The best use of the material makes the most of its flexibility	0
4642	With money in your pocket you are wise you are handsome and you sing well too	0
4398	Mankind fears an evil man but heaven does not	0
4560	Many a true word is spoken in jest	0
410	pills with long names can be quite a mouthful	1
1480	golfers hate cake because they might get a slice	1
2644	I never thought it was going to be as intense as it was though	0
731	only the squares are doing well in geometry class it s their area	1
3690	depends on the state you may have to re take the exam	0
1997	doctors handwriting is often sickeningly ill egible	1
2608	No it s not something I gave a lot of thought to	0
780	erasable pens were a good idea on paper	1
2772	Even if you screwed up you could still make a profit in video	0
4312	Even a hare will bite when it is cornered	0
1358	the bridegroom got to the church when he was supposed to he was at the rite place at the rite time	1
394	the electrician got his supplies at the outlet store	1
2143	a clumsy physician who pretends to care is a hypocritical oaf	1
1011	an astronaut who fails on a weightlessness experiment must be aware of the gravity of the situation	1
4101	Well for one thing the business owner did not get the reaction he was expecting from his workers	0
2613	It ll drive you nuts especially if you have a statement you ve got to make	0
872	the math teacher was a good dancer he had algorithm	1
4237	A client twixt his attorney and counselor is like a goose twixt two foxes	0
1824	he took roller skates to mount everest so he could be a high roller	1
189	he has been a jogger for three years running	1
134	your golf addiction is driving a wedge between us	1
1359	the book about teflon contained no frictional characters	1
2440	But I don t think we ve ever had anything this bad	0
977	he stayed at the auction to the bidder end	1
2796	It did not say what could have caused the blast	0
383	the most important thing to know about becoming a urologist is that you have to be able to go with the flow	1
4614	Do not meet troubles half way	0
4759	Be patient with a bad neighbor he may move or face misfortune	0
4438	One joy shatters a hundred griefs	0
405	since i ve taken the job in the everglades i ve been swamped	1
2810	Who can say Not today we don t want it	0
220	when i questioned the livestock delivery company as to whether or not they could quickly move some donkeys they said they could haul ass	1
3202	But after a lifetime of trying he hasn t been able to come up with another hit	0
2729	It was real hard to feel good about himself again	0
2843	I think if you can spread the organs to more people that is what should be done	0
3095	I think three years is a long time for a young person	0
3301	Two of the men were killed and one injured the report said	0
608	in order to talk to a viking you need to know norse code	1
1324	the police auction was a complete bust	1
1951	so how s the flower business going oh it s blossoming quite nicely	1
192	experts say the cost of funerals have risen by 50 they blame it on the cost of living	1
148	the irish should be rich because their capital is always dublin	1
531	we almost got creamed by a milk truck i was udderly terrified	1
4762	If there were no fault there would be no pardon	0
1931	the irs visited the bronze maker and got down to brass tax	1
1657	flying these days is a frisky business	1
1621	i recently got a job at the office for national statistics but i m only there to make up the numbers	1
3932	you can go to finder com you can find criminal records and people in just about any country	0
1098	the man had grounds for complaint after his wife had a harrowing time with a rake at a garden party	1
4799	Nobody has ever before asked the nuclear family to live all by itself in a box the way we do With no relatives no support we ve put it in an impossible situation	0
3056	Now we get people in here all the time who aren t even interested in buying anything she said	0
3048	I think the manufacturing side felt that we would do better than that	0
3776	i forget just now but wait what was the question again	0
882	the golfer guessed that his ball landed 20 feet off the fairway of course that was just a rough estimate	1
4727	Don t squat with your spurs on	0
379	the portrait artist made extra money as a census taker he was good at canvasing people	1
517	when the prisoner was told by his lawyer that he had gotten a stay of execution he smiled and said well no noose is good noose	1
624	if you re intent on hunting deer make sure you have a game plan	1
4143	Put simply this new spot may serve some of the best pizza in Italy	0
481	did you hear about the high ranking military father who cloned himself the result was a major faux pa	1
2272	if you re dying to purchase cropland in thailand then you ve baht the farm	1
3373	He would lose his job if he didn t sail	0
2527	Most of the time if you talk to them they can tell you why they are there and they can tell you what led to it	0
162	my friend dropped his box of italian pastries on the floor i cannoli imagine what he must be going through	1
3569	turn on the oven to high and fill a pot of water and put it on the stove	0
45	i really wanted a camouflage shirt but i couldn t find one	1
2275	global warming campaigners lament the invention of the infernal combustion engine	1
2486	One day this kid looked at me and said What happened to your hands and face	0
4448	Patience and the mulberry leaf become a silk robe	0
2797	I am now sure there will be an end to it	0
2565	But I always believe that there is a reason for everything	0
3173	It s a natural place for a massive black hole to form	0
3571	try eating more carbs some people are just naturally thin though	0
3061	She thought it was a better place to raise children she said	0
1118	the cannibal hitman preferred take out food	1
4436	One generation plants the trees another gets the shade	0
4618	Don t make a mountain out of a molehill	0
4291	Curse your wife at evening sleep alone at night	0
2067	the inept nerd married a nuclear software engineer who made great fission chips she was his bride and booter	1
3414	People are dressing up much more than they were 10 years ago but who wants to go out and spend a couple of thousand dollars for a dress	0
